Company,Founded,Revenue_Million,Employees,RnD_Million,MarketShare,GrowthRate
AlphaSoft,2001,120,340,15,2.1,6.4
BetaTech,1998,450,980,42,6.3,9.1
CyberWorks,2005,310,620,33,4.8,7.8
DataLink,2010,180,410,20,3.2,5.6
EdgeLabs,2013,95,210,12,1.7,4.9
FusionCorp,1995,880,2100,120,10.4,11.2
GlobalNet,2000,760,1870,95,9.2,8.5
HyperSystems,2008,230,530,22,3.7,6.1
InfiniTech,2015,70,160,8,1.1,3.5
JetWave,1999,520,1240,55,7.1,7.3
KeyLogic,2003,260,590,30,3.5,6.7
LogicMind,2012,105,240,13,1.9,4.2
MetaPoint,2007,350,720,38,4.9,6.9
NanoSoft,2004,480,980,41,6,8.2
OptiCore,2011,160,380,19,2.9,5.3
PrimeTech,1997,910,2240,130,10.9,12.1
QuantumApps,2016,55,120,6,0.9,3.2
RoboWorks,2009,220,470,21,3.1,5.8
SkyLabs,2002,300,640,31,4.5,6.4
TechNova,2014,85,200,10,1.5,4.1
UniSoft,1996,740,1650,90,8.7,10.4
VeloCorp,2001,390,820,35,5.2,7.6
WebMatrix,2006,305,710,32,4.3,6.8
XenoTech,2003,420,910,45,5.9,8
YieldWorks,2017,48,110,5,0.8,3
ZenithAI,2018,60,130,7,0.9,3.4
AstraNet,2009,275,580,28,3.9,5.7
ByteSystems,2005,330,650,34,4.6,6.9
CloudEdge,2011,145,360,18,2.7,5.1
DigiCore,2013,90,210,11,1.6,4
EvoLogic,1994,1020,2500,140,11.5,12.3
FastLink,2006,315,690,29,4.4,6.5
GridNetworks,2002,480,1050,50,6.4,8.1
HoloTech,2008,240,520,23,3.2,5.9
Intelix,1999,650,1420,70,7.8,9.5
JunoSoft,2010,190,450,17,3,5.4
KappaLabs,2007,355,760,36,4.7,6.7
LuminaTech,2015,65,150,9,1.3,3.6
MobiSystems,2001,410,890,37,5.4,7.8
NeoLogic,2003,470,1020,48,6.2,8.4
OmniTech,1998,820,1950,100,9.8,10.9
PixelData,2012,115,260,14,1.8,4.3
QuantumX,2016,58,125,6,0.9,3.3
RexonCorp,2004,490,970,44,5.9,8.1
StarWave,2013,92,215,12,1.6,4
TitanSoft,1996,880,2100,115,10.2,11.7
UltraMind,2014,100,230,14,1.7,4.4
VisionSys,2007,335,710,32,4.4,6.6
WaveLogic,2005,300,640,30,4.1,6.2
XyloTech,2019,42,90,4,0.7,2.8
ZenoLogic,2018,64,135,7,1,3.5
